opis_id,name,address,city,state,lat,lon,price
10058,CITGO,US-431/SR-1 & SR-27,Abbeville,AL,31.565164,-85.259165,3.399000
71578,RACETRAC #2595,I-65 EXIT 284,Alabaster,AL,33.214355,-86.823080,2.999000
64581,SNEAD SHELL,US-278 & SR-75,Altoona,AL,34.040014,-86.305179,3.109000
68282,SUNSTOP #612,US-84,Andalusia,AL,31.309436,-86.478031,3.485667
60084,SUNSTOP #625,US-84,Ashford,AL,31.185284,-85.236236,3.599000
68476,CREEK TRAVEL PLAZA,"I-65, EXIT 54",Atmore,AL,31.124067,-87.457798,3.135667
66472,DIAMOND #21,"I-65, EXIT 54",Atmore,AL,31.124067,-87.457798,3.259000
66648,CHEVRON,"I-20, EXIT 113",Bessemer,AL,33.370890,-86.972193,3.099000
1621,CIRCLE K #2709337,"I-65, EXIT 262B",Birmingham,AL,33.527174,-86.797036,3.489000
66399,CIRCLE K #2723672,"I-59/I-20, EXIT 128",Birmingham,AL,33.527174,-86.797036,3.699000
66036,FLYING J TRAVEL PLAZA #602,"I-65, EXIT 264",Birmingham,AL,33.527174,-86.797036,3.559000
4533,SPEEDWAY #1449,"I-65, EXIT 262B",Birmingham,AL,33.527174,-86.797036,2.975667
63828,CIRCLE K #2723654,US-431,Boaz,AL,34.199790,-86.153290,3.519000
66640,Kent Kwik #928,US-82/SR-6 & SR-5/SR-25,Brent,AL,32.944950,-87.172086,3.099000
64706,CIRCLE K #2721571,"I-65, EXIT 69",Brewton,AL,31.109175,-87.076583,3.399000
67965,DIAMOND #7,"I-65, EXIT 69",Brewton,AL,31.109175,-87.076583,3.399000
64545,HOBO PANTRY #24,US-231 & SR-10,Brundidge,AL,31.717639,-85.817550,3.599000
63829,CALERA CHEVRON,SR-25,Calera,AL,33.123892,-86.745931,3.199000
71628,QUIKTRIP #7171,I-65 EXIT 231,Calera,AL,33.123892,-86.745931,2.999000
64546,GRUB MART #13,"I-59, EXIT 205 & US-411/SR-25/SR-68",Centre,AL,34.153059,-85.671683,3.349000
66846,CIRCLE K #2723664,US-280,Childersburg,AL,33.292558,-86.340864,3.899000
4927,CIRCLE K #2704886,"I-65, EXIT 205 & US-31/SR-22",Clanton,AL,32.845572,-86.619494,3.207333
64592,LOVES TRAVEL STOP #368,"I-65, EXIT 208 & CR-28",Clanton,AL,32.845572,-86.619494,3.337333
64092,ONE9 #4555,"I-20/I-59, EXIT 77",Cottondale,AL,33.198843,-87.453620,2.932333
71523,QUIKTRIP #7170,I-59 EXIT 77,Cottondale,AL,33.198843,-87.453620,2.915667
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,33.198843,-87.453620,2.964000
66410,SIBLEY FOOD FUEL,US-72/SR-20 & CR-150,Courtland,AL,34.669946,-87.327892,3.399000
72563,RACEWAY #6991,I-65 Exit 19 & US-43,Creola,AL,30.874209,-88.009818,2.949000
6701,JACKS TRUCK STOP,"I-65, EXIT 304 & SR-69",Cullman,AL,34.176870,-86.840656,3.999000
69153,PILOT #1550,"I-65, EXIT 304 & SR-69/CR-437",Cullman,AL,34.176870,-86.840656,3.859000
69153,Pilot Travel Center #1550,"I-65, EXIT 304 & SR-69/CR-437",Cullman,AL,34.176870,-86.840656,3.859000
7492,Mobil dba One9 #1365,"I-85, EXIT 70",Cusseta,AL,32.787637,-85.305769,2.999000
7492,One9 #1365,"I-85, EXIT 70",Cusseta,AL,32.787637,-85.305769,2.999000
67804,SUNSTOP #616,US-84/SR-134 & CR-1,Daleville,AL,31.291534,-85.711711,3.399000
60106,SUNSTOP #619,US-84,Daleville,AL,31.291534,-85.711711,3.399000
70122,Circle K #2709301,SR-67,Decatur,AL,34.572995,-86.989901,3.899000
70420,Circle K #2709302,SR-67,Decatur,AL,34.572995,-86.989901,3.507333
63523,PILOT TRAVEL CENTER #441,"I-65, EXIT 334",Decatur,AL,34.572995,-86.989901,3.859000
63523,PILOT TRAVEL CENTERS #441,"I-65, EXIT 334",Decatur,AL,34.572995,-86.989901,3.859000
71631,RACEWAY #6891,SR-20 & SR-67,Decatur,AL,34.572995,-86.989901,3.099000
71056,SPEEDWAY #1044,US-72 & SR-20,Decatur,AL,34.572995,-86.989901,3.425667
72647,RACEWAY #6972,US-83 & US-43,Demopolis,AL,32.499936,-87.826922,3.077333
66845,CIRCLE K #2723643,SR-431,Dothan,AL,31.233698,-85.406823,3.582333
67040,FLYING J TRAVEL PLAZA #603,US-431/SR-210 & US-231/SR-1,Dothan,AL,31.233698,-85.406823,3.999000
3096,HOBO PANTRY #6,US-431/SR-210,Dothan,AL,31.233698,-85.406823,3.959000
72885,RACEWAY #6960,US-431 & Westgate PKWY,Dothan,AL,31.233698,-85.406823,3.199000
64712,SUNSTOP #650,US-431 & SR-210,Dothan,AL,31.233698,-85.406823,3.412333
72219,QUICK FILL,US-78/SR-4,Eastaboga,AL,33.605937,-86.021359,3.099000
64713,GOOD TO GO,"I-65, EXIT 200",Enterprise,AL,31.325529,-85.846071,3.599000
60114,SUNSTOP #606,US-84/SR-167,Enterprise,AL,31.325529,-85.846071,3.699000
70581,LOVES TRAVEL STOP #773,"SR-14 & I-59/20, EXIT 40",Eutaw,AL,32.846247,-87.900332,3.137333
66780,DIAMOND #20,"I-65, EXIT 93 & SR-84",Evergreen,AL,31.433216,-86.976081,3.399000
67325,LOVES TRAVEL STOP #225,"I-65, EXIT 93 & US-84",Evergreen,AL,31.433216,-86.976081,3.339000
64554,FACKLER TEXACO TRUCK STOP,US-72 & CR-42,Fackler,AL,34.792583,-85.909977,3.199000
52426,J MART #322,"I-65, EXIT 322",Falkville,AL,34.377019,-86.909547,3.199000
67127,LOVES TRAVEL STOP #381,"I-65, EXIT 322 & CR-55",Falkville,AL,34.377019,-86.909547,3.849000
72945,CIRCLE K #2707057,SR-59 & CR-12,Foley,AL,30.397071,-87.668458,3.092333
72680,RACEWAY #6990,US-98,Foley,AL,30.397071,-87.668458,3.075667
66407,CIRCLE K #2723668,SR-35,Fort Payne,AL,34.457240,-85.689474,3.649000
71111,MAPCO #5167,"I-59, EXIT 21B & SR-35",Fort Payne,AL,34.457240,-85.689474,3.479000
66273,PETRO STOPPING CENTER,"I-59, EXIT 181 & US-77",Gadsden,AL,34.006597,-86.016078,3.999000
72309,Racetrac #2608,"I-59, EXIT 181 & SR-77",Gadsden,AL,34.006597,-86.016078,2.999000
71095,HOBO PANTRY #29,US-84/SR-12 & SR-95,Gordon,AL,31.143606,-85.092504,3.659000
6154,TA MOBILE TRAVEL CENTER,"I-10,  EXIT 4",Grand Bay,AL,30.472082,-88.344401,3.135667
71623,Circle K #2706637,US-43,Grove Hill,AL,31.698670,-87.772868,3.719000
71199,LOVES TRAVEL STOP #814,"I-22, EXIT 14 & CR-35",Hamilton,AL,34.138713,-87.970833,3.555667
52365,MOORES SUPER STORE,US-43/US-278/SR-171,Hamilton,AL,34.138713,-87.970833,3.799000
66900,DODGE CITY PETRO #397,"I-65, EXIT 299 & SR-69",Hanceville,AL,34.064010,-86.764436,3.919000
67344,DODGE CITY SHELL,"I-65, EXIT 299",Hanceville,AL,34.064010,-86.764436,3.952333
67718,SUNSTOP #622,SR-52 & SR-167,Hartford,AL,31.105348,-85.691225,3.599000
60136,HOBO PANTRY #18,US-431,Headland,AL,31.354974,-85.357031,3.599000
6182,Exxon,"I-20, EXIT 205 & SR-46",Heflin,AL,33.647400,-85.569339,3.015667
71490,LOVES TRAVEL STOP #818,"I-20, EXIT 205 & SR-46",Heflin,AL,33.647400,-85.569339,3.207333
66897,FLYING J TRAVEL PLAZA #604,"I-65, EXIT 158",Hope Hull,AL,32.199706,-86.344147,3.309000
70100,LOVES TRAVEL STOP #718,"I-65, EXIT 158",Hope Hull,AL,32.199706,-86.344147,3.265667
70858,SPEEDWAY #1012,"I-65, EXIT 158 & CR-6",Hope Hull,AL,32.199706,-86.344147,3.052333
4311,Saveway Truck Plaza,"I-65, EXIT 164 & US-31",Hope Hull,AL,32.199706,-86.344147,3.139000
69632,Circle K #2709300,US-72/SR-2,Huntsville,AL,34.688740,-86.675075,2.977333
66673,MARATHON,SR-72,Huntsville,AL,34.688740,-86.675075,2.979000
72477,Racetrac #2618,US-231 & CR-8,Huntsville,AL,34.688740,-86.675075,2.950667
72478,Racetrac #2621,SR-53,Huntsville,AL,34.688740,-86.675075,3.099000
72721,Racetrac #2625,SR 72 E & SHIELDS RD,Huntsville,AL,34.688740,-86.675075,2.977333
71259,LOVES TRAVEL STOP #846,I-10 EXIT 10,Irvington,AL,30.506862,-88.233892,3.165667
71833,Circle K #2706636,US HWY 43,Jackson,AL,31.532321,-87.891183,3.899000
3167,JASPER FOOD MART,US-78,Jasper,AL,33.851110,-87.268348,3.229000
68359,LOVES TRAVEL STOP #466,"I-78, EXIT 65",Jasper,AL,33.851110,-87.268348,3.555667
69930,CONCORDE TRAVEL CENTER,"I-65, EXIT 219 & CR-42",Jemison,AL,32.970705,-86.733070,3.299000
67848,JEMISON EXXON,"I-65, EXIT 219 & CR-42",Jemison,AL,32.970705,-86.733070,3.299000
2982,CIRCLE K #2723726,"I-59/I-20, EXIT 52 & US-11/US-43/SR-7",Knoxville,AL,33.591772,-85.897188,3.089000
4826,I-20 Truck Stop,"I-20, EXIT 165",Lincoln,AL,33.580169,-86.127876,2.999000
69681,PILOT #1549,"I-20, EXIT168 & SR-77",Lincoln,AL,33.580169,-86.127876,3.199000
69681,PILOT TRAVEL CENTER #1549,"I-20, EXIT168 & SR-77",Lincoln,AL,33.580169,-86.127876,3.109000
67262,PILOT TRAVEL CENTER #497,"I-20, EXIT 165",Lincoln,AL,33.580169,-86.127876,3.109000
67262,PILOT TRAVEL CENTERS #497,"I-20, EXIT 165",Lincoln,AL,33.580169,-86.127876,3.199000
63517,TA LINCOLN TRAVEL CENTER,"I-20, EXIT 168 & SR-77",Lincoln,AL,33.580169,-86.127876,3.084000
72430,PATRIOT FUELING CENTER,SR-9,Lineville,AL,33.312832,-85.752278,3.299000
52663,EXXON,"I-20/I-59, EXIT 17 & SR-28",Livingston,AL,32.595549,-88.186929,2.979000
72884,CEFCO #435,"I-10, EXIT 44 & US-90",Loxley,AL,30.678931,-87.740873,3.025667
64484,LOVES TRAVEL STOP #206,"I-10, EXIT 44 & SR-59",Loxley,AL,30.678931,-87.740873,3.339000
70383,SPEEDWAY #4400,I-10 & SR-59,Loxley,AL,30.678931,-87.740873,3.282333
2204,NATURAL BRIDGE SHELL,US-278 & SR-5,Lynn,AL,34.057553,-87.548776,3.682333
